臺北市,郝龍斌,中國國民黨
新北市,朱立倫,中國國民黨
臺中市,胡志強,中國國民黨
臺南市,賴清德,民主進步黨
高雄市,陳菊,民主進步黨
宜蘭縣,林聰賢,民主進步黨
桃園縣,吳志揚,中國國民黨
新竹縣,邱鏡淳,中國國民黨
苗栗縣,劉政鴻,中國國民黨
彰化縣,卓伯源,中國國民黨
南投縣,李朝卿,中國國民黨
雲林縣,蘇治芬,民主進步黨
嘉義縣,張花冠,民主進步黨
屏東縣,曹啟鴻,民主進步黨
臺東縣,黃健庭,中國國民黨
花蓮縣,傅崐萁,親民黨
澎湖縣,王乾發,中國國民黨
基隆市,張通榮,中國國民黨
新竹市,許明財,中國國民黨
嘉義市,黃敏惠,中國國民黨
金門縣,李沃士,中國國民黨
連江縣,楊綏生,中國國民黨
